"","UNQ_ID","CI","CYAN_Date","CI_Actual","CellCount"
"7360","SLR_01",0,2020-05-03,6.30957344480193e-05,6309.57344480193
"7361","SLR_10",0,2020-05-03,6.30957344480193e-05,6309.57344480193
"7362","SLR_09",0,2020-05-03,6.30957344480193e-05,6309.57344480193
"7363","SLR_08",0,2020-05-03,6.30957344480193e-05,6309.57344480193
"7364","SLR_07",0,2020-05-03,6.30957344480193e-05,6309.57344480193
"7365","SLR_06",0,2020-05-03,6.30957344480193e-05,6309.57344480193
"7366","SLR_05",52,2020-05-03,0.000265460556197554,26546.0556197554
"7367","SLR_04",73,2020-05-03,0.000474241985260244,47424.1985260244
"7368","SLR_03",0,2020-05-03,6.30957344480193e-05,6309.57344480193
"7369","SLR_02",0,2020-05-03,6.30957344480193e-05,6309.57344480193
"7370","SLR_01",75,2020-05-04,0.000501187233627272,50118.7233627272
"7371","SLR_10",79,2020-05-04,0.00055975760149511,55975.760149511
"7372","SLR_09",58,2020-05-04,0.000313328572431559,31332.8572431559
"7373","SLR_08",147,2020-05-04,0.00366437574647833,366437.574647833
"7374","SLR_07",118,2020-05-04,0.00164437172321493,164437.172321493
"7375","SLR_06",158,2020-05-04,0.00496592321450336,496592.321450336
"7376","SLR_05",101,2020-05-04,0.00102801629812647,102801.629812647
"7377","SLR_04",64,2020-05-04,0.000369828179780266,36982.8179780266
"7378","SLR_03",47,2020-05-04,0.000231206479017559,23120.6479017559
"7379","SLR_02",70,2020-05-04,0.000436515832240166,43651.5832240166
"7380","SLR_01",0,2020-05-05,6.30957344480193e-05,6309.57344480193
"7381","SLR_10",64,2020-05-05,0.000369828179780266,36982.8179780266
"7382","SLR_09",0,2020-05-05,6.30957344480193e-05,6309.57344480193
"7383","SLR_08",74,2020-05-05,0.000487528490103386,48752.8490103386
"7384","SLR_07",97,2020-05-05,0.00092044957175317,92044.957175317
"7385","SLR_06",0,2020-05-05,6.30957344480193e-05,6309.57344480193
"7386","SLR_05",77,2020-05-05,0.000529663443891658,52966.3443891658
"7387","SLR_04",43,2020-05-05,0.000207014134879104,20701.4134879104
"7388","SLR_03",0,2020-05-05,6.30957344480193e-05,6309.57344480193
"7389","SLR_02",69,2020-05-05,0.000424619563946313,42461.9563946313
"7390","SLR_10",0,2020-05-06,6.30957344480193e-05,6309.57344480193
"7391","SLR_07",0,2020-05-06,6.30957344480193e-05,6309.57344480193
"7392","SLR_06",0,2020-05-06,6.30957344480193e-05,6309.57344480193
"7393","SLR_01",0,2020-05-07,6.30957344480193e-05,6309.57344480193
"7394","SLR_06",128,2020-05-07,0.00216770410481969,216770.410481969
"7395","SLR_05",122,2020-05-07,0.00183653834334835,183653.834334835
"7396","SLR_04",116,2020-05-07,0.00155596563160507,155596.563160508
